TransDate,AvgMPrice,Price_Smoothed,PricePctChange,EMA,Sales_Smoothed,DayOfWeek,Month,Season
0,2.7,1.8578093389171217,-93.37836209933167,5.0,-31.61095880840115,5,1,1
1,2.5,1.8554923778255834,-7.407407407407418,4.466666666666668,-18.28978663819628,6,1,1
2,2.15,1.8532337406845014,-14.000000000000002,5.871111111111112,-8.076897353615161,0,1,1
3,1.609375,1.8510330377726254,-25.1453488372093,7.354962962962964,-0.5777743319581714,1,1,1
4,1.7222222222222223,1.8488898793687043,7.011866235167208,7.574301234567902,4.602099049474211,2,1,1
5,1.875,1.8468038757514897,8.870967741935477,8.164394403292182,7.857239413381565,3,1,1
6,1.7142857142857142,2.038697562358277,-8.571428571428575,8.009141816186558,9.428571428571429,4,1,1
7,1.7045454545454546,1.8964897701504844,-0.5681818181818121,8.407922907361684,10.285714285714286,5,1,1
8,2.0,1.8250611987219132,17.333333333333336,7.553533186380126,10.428571428571429,6,1,1
9,1.7777777777777777,1.7718865955473098,-11.111111111111116,7.74639542819611,9.571428571428571,0,1,1
10,1.75,1.7919758812615956,-1.5625,8.046876037769962,8.571428571428571,1,1,1
11,1.9166666666666667,1.8197536590393733,9.523809523809534,8.173959232733967,8.571428571428571,2,1,1
12,1.625,1.7840393733250877,-15.217391304347828,9.217431335036105,9.142857142857142,3,1,1
13,1.703125,1.7824449855699858,4.807692307692313,12.25510715703129,12.714285714285714,4,1,1
14,2.0238095238095237,1.8280541383219955,18.829183049366538,13.554426202760451,14.285714285714286,5,1,1
15,2.1875,1.8548398526077097,8.088235294117641,12.280502709059059,14.571428571428571,6,1,1
16,1.8875,1.870514455782313,-13.714285714285712,13.443102347851184,16.285714285714285,0,1,1
17,1.6896551724137931,1.8618937661271406,-10.481845170130166,15.517355368137693,19.0,1,1,1
18,2.0675675675675675,1.8834510376844118,22.366243794815222,18.381707985719334,23.0,2,1,1
19,1.7222222222222223,1.8973399265733009,-16.702977487291204,19.530813587623424,24.571428571428573,3,1,1
20,1.7023809523809523,1.897233634056294,-1.1520737327189057,19.726705109273635,23.0,4,1,1
21,1.8958333333333333,1.878951321131124,11.363636363636353,18.696477761370485,21.571428571428573,5,1,1
22,1.8125,1.8253798925596953,-4.395604395604391,16.736947393187755,21.571428571428573,6,1,1
23,1.8035714285714286,1.813390096641328,-0.49261083743842304,16.638687740762723,20.857142857142858,0,1,1
24,1.625,1.8041536434393577,-9.9009900990099,16.553529375327695,19.0,1,1,1
25,1.603448275862069,1.7378508874814294,-1.326259946949604,18.21305879195067,17.857142857142858,2,1,1
26,1.5517241379310345,1.713494018296974,-3.2258064516129004,19.65131761969058,18.142857142857142,3,1,1
27,1.75,1.7202967393854094,12.777777777777777,20.764475270398503,19.142857142857142,4,1,1
28,1.9,1.7208919774806475,8.571428571428562,18.66254523434537,18.142857142857142,5,1,1
29,1.9285714285714286,1.7374736101337087,1.5037593984962516,17.10753920309932,18.571428571428573,6,1,1
30,1.9444444444444444,1.7575983266869968,0.8230452674897082,18.69320064268608,20.428571428571427,0,1,1
31,1.6296296296296295,1.7582597023483724,-16.1904761904762,19.80077389032794,22.0,1,2,1
32,1.8888888888888888,1.7990369327807751,15.909090909090917,18.36067070495088,19.142857142857142,2,2,1
33,1.635135135135135,1.8109527895242181,-13.43402225755167,20.84591461095743,20.285714285714285,3,2,1
34,1.6590909090909092,1.7979657765372052,1.465063861758087,21.133125996163105,19.571428571428573,4,2,1
35,1.875,1.7943943479657765,13.013698630136972,20.182042530008026,20.857142857142858,5,2,1
36,2.05,1.8117412867412865,9.333333333333327,18.824436859340288,21.285714285714285,6,2,1
37,1.7380952380952381,1.7822628286914,-15.214866434378616,19.247845278094918,20.285714285714285,0,2,1
38,1.875,1.8173157387443102,7.8767123287671215,18.281465907682264,18.142857142857142,1,2,1
39,1.90625,1.8197958974744688,1.6666666666666607,17.97727045332463,19.142857142857142,2,2,1
40,1.875,1.8540623067408781,-1.6393442622950838,17.98030105954801,16.428571428571427,3,2,1
41,1.9537037037037037,1.8961498488284203,4.197530864197541,19.182927584941613,17.0,4,2,1
42,2.25,1.949721277399849,15.165876777251185,17.825203906949397,16.285714285714285,5,2,1
43,1.9285714285714286,1.9323743386243388,-14.28571428571428,17.315176719356145,16.857142857142858,6,2,1
44,1.425,1.887646447467876,-26.111111111111107,17.673153156775328,16.571428571428573,0,2,1
45,1.6875,1.8608607331821616,18.421052631578938,18.78339940253862,18.571428571428573,1,2,1
46,1.9583333333333333,1.8683012093726379,16.049382716049386,18.678946148866803,18.857142857142858,2,2,1
47,1.9761904761904763,1.882756991685563,0.911854103343468,19.121753329017896,19.428571428571427,3,2,1
48,1.88,1.8722278911564625,-4.867469879518083,19.90551955181551,19.142857142857142,4,2,1
49,1.875,1.8186564625850339,-0.26595744680850686,19.651450278240105,20.428571428571427,5,2,1
50,1.6875,1.7842176870748296,-9.999999999999998,18.631256907808094,20.142857142857142,6,2,1
51,2.0789473684210527,1.877638739706409,23.196881091617925,18.94708932010035,20.285714285714285,0,2,1
52,1.5681818181818181,1.8605932851609543,-24.56846950517837,18.020810744086972,18.285714285714285,1,2,1
53,2.1666666666666665,1.890355189922859,38.164251207729464,16.41803597820871,16.571428571428573,2,2,1
54,1.7934782608695652,1.8642534448770145,-17.224080267558527,17.295631181114217,16.714285714285715,3,2,1
55,1.8653846153846154,1.8621655327891027,4.009324009324011,18.456213690298988,16.857142857142858,4,2,1
56,1.75,1.84430838993196,-6.185567010309279,17.86205186492579,16.285714285714285,5,2,1
